id,section,tags,level,status,version,created_at,updated_at,term_es,short_es,long_es,example_es,term_en,short_en,long_en,example_en
api_ia,aplicaciones_herramientas,api;integracion;backend,intermedio,activo,1,2025-11-13,2025-11-13,API de IA,Interfaz que permite integrar modelos de inteligencia artificial en aplicaciones y sistemas externos.,Interfaz que permite integrar modelos de inteligencia artificial en aplicaciones y sistemas externos.,Conectar un CRM con GPT para analizar conversaciones comerciales.,AI API,Interface that allows integrating AI models into external applications and systems.,Interface that allows integrating AI models into external applications and systems.,Connecting a CRM to GPT to analyze sales conversations.
api_gateway,aplicaciones_herramientas,api;arquitectura;integracion,intermedio,activo,1,2025-11-13,2025-11-13,API Gateway,"Punto de entrada centralizado que gestiona, enruta y controla el acceso a múltiples APIs de IA y servicios backend.","Punto de entrada centralizado que gestiona, enruta y controla el acceso a múltiples APIs de IA y servicios backend.","Gateway que balancea carga entre varios modelos de IA, gestiona autenticación y monitoriza uso.",API Gateway,"Centralized entry point that manages, routes and controls access to multiple AI APIs and backend services.","Centralized entry point that manages, routes and controls access to multiple AI APIs and backend services.","Gateway that load-balances between multiple AI models, manages authentication and monitors usage."
aprendizaje_no_supervisado,tecnicas_procesos,no_supervisado;clusters,intermedio,activo,1,2025-11-13,2025-11-13,Aprendizaje no supervisado,El modelo identifica patrones en los datos sin etiquetas previas.,El modelo identifica patrones en los datos sin etiquetas previas.,Segmentar clientes por comportamiento de compra.,Unsupervised learning,Model identifies patterns in data without prior labels.,Model identifies patterns in data without prior labels.,Segmenting customers by purchasing behavior.
aprendizaje_refuerzo,tecnicas_procesos,refuerzo;politicas,avanzado,activo,1,2025-11-13,2025-11-13,Aprendizaje por refuerzo,"El modelo aprende por prueba y error, recibiendo recompensas por decisiones correctas.","El modelo aprende por prueba y error, recibiendo recompensas por decisiones correctas.",Optimizar rutas logísticas o precios dinámicos.,Reinforcement learning,"Model learns by trial and error, receiving rewards for correct decisions.","Model learns by trial and error, receiving rewards for correct decisions.",Optimizing logistics routes or dynamic pricing.
aprendizaje_supervisado,tecnicas_procesos,supervisado;etiquetas,basico,activo,1,2025-11-13,2025-11-13,Aprendizaje supervisado,El modelo aprende a partir de datos etiquetados en los que se conoce la respuesta correcta.,El modelo aprende a partir de datos etiquetados en los que se conoce la respuesta correcta.,Clasificar correos en spam o no spam.,Supervised learning,Model learns from labeled data where the correct answer is known.,Model learns from labeled data where the correct answer is known.,Classifying emails as spam or not spam.
attention_mechanism,fundamentos,fundamentos;transformer;arquitectura,intermedio,activo,1,2025-11-13,2025-11-13,Mecanismo de atención (Attention),"Técnica que permite al modelo enfocarse en las partes más relevantes de la entrada al procesar información, fundamental en arquitecturas transformer.","Técnica que permite al modelo enfocarse en las partes más relevantes de la entrada al procesar información, fundamental en arquitecturas transformer.","En traducción automática, prestar más atención a las palabras relevantes del contexto.",Attention mechanism,"Technique that allows the model to focus on the most relevant parts of the input when processing information, fundamental in transformer architectures.","Technique that allows the model to focus on the most relevant parts of the input when processing information, fundamental in transformer architectures.","In machine translation, paying more attention to contextually relevant words."
backpropagation,fundamentos,fundamentos;entrenamiento;optimizacion,intermedio,activo,1,2025-11-13,2025-11-13,Retropropagación (Backpropagation),"Algoritmo fundamental que calcula el gradiente de la función de pérdida respecto a los pesos de la red neuronal, permitiendo el aprendizaje.","Algoritmo fundamental que calcula el gradiente de la función de pérdida respecto a los pesos de la red neuronal, permitiendo el aprendizaje.",Ajustar los pesos de una red neuronal después de cada iteración de entrenamiento.,Backpropagation,"Fundamental algorithm that calculates the gradient of the loss function with respect to neural network weights, enabling learning.","Fundamental algorithm that calculates the gradient of the loss function with respect to neural network weights, enabling learning.",Adjusting neural network weights after each training iteration.
batch_size,fundamentos,fundamentos;entrenamiento;parametro,basico,activo,1,2025-11-13,2025-11-13,Tamaño de lote (Batch size),Número de ejemplos de entrenamiento procesados simultáneamente antes de actualizar los pesos del modelo.,Número de ejemplos de entrenamiento procesados simultáneamente antes de actualizar los pesos del modelo.,Entrenar con batch size de 32 para equilibrar velocidad y estabilidad.,Batch size,Number of training examples processed simultaneously before updating model weights.,Number of training examples processed simultaneously before updating model weights.,Training with batch size of 32 to balance speed and stability.
batch_inference,aplicaciones_herramientas,inferencia;produccion;optimizacion,intermedio,activo,1,2025-11-13,2025-11-13,Inferencia por lotes (Batch inference),"Proceso de ejecutar predicciones sobre múltiples ejemplos simultáneamente en lugar de uno a uno, optimizando recursos y tiempo.","Proceso de ejecutar predicciones sobre múltiples ejemplos simultáneamente en lugar de uno a uno, optimizando recursos y tiempo.","Procesar 10,000 imágenes de productos de una vez por la noche en lugar de en tiempo real.",Batch inference,"Process of running predictions on multiple examples simultaneously instead of one-by-one, optimizing resources and time.","Process of running predictions on multiple examples simultaneously instead of one-by-one, optimizing resources and time.","Processing 10,000 product images at once overnight instead of real-time."
benchmarking,tecnicas_procesos,metricas;comparacion,intermedio,activo,1,2025-11-13,2025-11-13,Benchmarking,Evaluar modelos comparando sus resultados con métricas o conjuntos de referencia estándar.,Evaluar modelos comparando sus resultados con métricas o conjuntos de referencia estándar.,Comparar la precisión de varios modelos de clasificación.,Benchmarking,Evaluating models by comparing their results with standard metrics or reference datasets.,Evaluating models by comparing their results with standard metrics or reference datasets.,Comparing the accuracy of several classification models.
bias,tecnicas_procesos,sesgo;etica,intermedio,activo,1,2025-11-13,2025-11-13,Bias (sesgo algorítmico),Distorsión en los resultados de un modelo causada por datos o decisiones de diseño sesgados.,Distorsión en los resultados de un modelo causada por datos o decisiones de diseño sesgados.,Un modelo de selección que favorece a un género sobre otro.,Algorithmic bias,Distortion in model results caused by biased data or design choices.,Distortion in model results caused by biased data or design choices.,A hiring model that favors one gender over another.
bleu_rouge,tecnicas_procesos,metricas;evaluacion;texto,intermedio,activo,1,2025-11-13,2025-11-13,BLEU / ROUGE,"Métricas para evaluar calidad de texto generado comparando con referencias: BLEU para traducción, ROUGE para resúmenes.","Métricas para evaluar calidad de texto generado comparando con referencias: BLEU para traducción, ROUGE para resúmenes.",Evaluar si las traducciones automáticas son similares a las humanas.,BLEU / ROUGE,"Metrics to evaluate generated text quality by comparing with references: BLEU for translation, ROUGE for summaries.","Metrics to evaluate generated text quality by comparing with references: BLEU for translation, ROUGE for summaries.",Evaluating whether automatic translations are similar to human ones.
catastrophic_forgetting,tecnicas_procesos,entrenamiento;memoria;problema,avanzado,activo,1,2025-11-13,2025-11-13,Olvido catastrófico (Catastrophic forgetting),"Fenómeno donde una red neuronal olvida completamente lo aprendido en una tarea anterior al ser entrenada en una nueva tarea.","Fenómeno donde una red neuronal olvida completamente lo aprendido en una tarea anterior al ser entrenada en una nueva tarea.","Un modelo que aprende a jugar ajedrez y luego olvida cómo jugar damas tras ser reentrenado.",Catastrophic forgetting,"Phenomenon where a neural network completely forgets what it learned in a previous task upon being trained on a new task.","Phenomenon where a neural network completely forgets what it learned in a previous task upon being trained on a new task.","A model that learns to play chess and then forgets how to play checkers after being retrained."
chain_of_thought,modelos_arquitecturas,prompt;razonamiento;generativa,intermedio,activo,1,2025-11-13,2025-11-13,Cadena de pensamiento (Chain-of-Thought),"Técnica de prompting que obliga al modelo a razonar paso a paso antes de dar la respuesta final, mejorando significativamente la precisión en tareas complejas.","Técnica de prompting que obliga al modelo a razonar paso a paso antes de dar la respuesta final, mejorando significativamente la precisión en tareas complejas.",Prompt: «Resuelve este problema matemático pensando paso a paso» para que el LLM no se equivoque.,Chain-of-Thought (CoT),"Prompting technique that forces the model to reason step-by-step before giving the final answer, dramatically improving accuracy on complex tasks.","Prompting technique that forces the model to reason step-by-step before giving the final answer, dramatically improving accuracy on complex tasks.",Prompt: «Solve this math problem thinking step by step» so the LLM doesn't make mistakes.
chatbot,aplicaciones_herramientas,chatbot;soporte;conversacion,basico,activo,1,2025-11-13,2025-11-13,Chatbot,Asistente virtual que mantiene conversaciones automáticas con usuarios.,Asistente virtual que mantiene conversaciones automáticas con usuarios.,Atención al cliente 24/7 en una web corporativa.,Chatbot,Virtual assistant that holds automated conversations with users.,Virtual assistant that holds automated conversations with users.,24/7 customer support on a corporate website.
clustering,tecnicas_procesos,no_supervisado;agrupacion;segmentacion,basico,activo,1,2025-11-13,2025-11-13,Clustering (agrupación),"Técnica de aprendizaje no supervisado que agrupa datos similares en clusters sin etiquetas previas, revelando patrones ocultos.","Técnica de aprendizaje no supervisado que agrupa datos similares en clusters sin etiquetas previas, revelando patrones ocultos.","Segmentar clientes en grupos de comportamiento similar usando K-means o DBSCAN para campañas de marketing personalizadas.",Clustering,"Unsupervised learning technique that groups similar data into clusters without prior labels, revealing hidden patterns.","Unsupervised learning technique that groups similar data into clusters without prior labels, revealing hidden patterns.","Segmenting customers into similar behavior groups using K-means or DBSCAN for personalized marketing campaigns."
cnn,modelos_arquitecturas,arquitectura;vision;imagen,intermedio,activo,1,2025-11-13,2025-11-13,Red neuronal convolucional (CNN),"Arquitectura de red neuronal diseñada para procesar datos con estructura de grilla, como imágenes, mediante convoluciones y pooling.","Arquitectura de red neuronal diseñada para procesar datos con estructura de grilla, como imágenes, mediante convoluciones y pooling.",Detección de defectos en imágenes de productos manufacturados.,Convolutional Neural Network (CNN),Neural network architecture designed to process grid-structured data like images using convolutions and pooling.,Neural network architecture designed to process grid-structured data like images using convolutions and pooling.,Detecting defects in manufactured product images.
computer_vision,aplicaciones_herramientas,vision;imagen;analisis,basico,activo,1,2025-11-13,2025-11-13,Visión por computador (Computer Vision),Área de IA que permite a las máquinas interpretar y entender imágenes y videos.,Área de IA que permite a las máquinas interpretar y entender imágenes y videos.,Inspección automática en líneas de producción manufacturera.,Computer Vision,AI area that enables machines to interpret and understand images and videos.,AI area that enables machines to interpret and understand images and videos.,Automatic inspection in manufacturing production lines.
confusion_matrix,tecnicas_procesos,metricas;evaluacion;clasificacion,basico,activo,1,2025-11-13,2025-11-13,Matriz de confusión,"Tabla que muestra verdaderos positivos, falsos positivos, verdaderos negativos y falsos negativos de un clasificador.","Tabla que muestra verdaderos positivos, falsos positivos, verdaderos negativos y falsos negativos de un clasificador.",Analizar dónde falla un modelo de detección de fraude: ¿falsos positivos o negativos?,Confusion matrix,"Table showing true positives, false positives, true negatives and false negatives of a classifier.","Table showing true positives, false positives, true negatives and false negatives of a classifier.",Analyzing where a fraud detection model fails: false positives or negatives?
constitutional_ai,etica_regulacion,etica;alineacion;seguridad,avanzado,activo,1,2025-11-13,2025-11-13,IA constitucional (Constitutional AI),Enfoque de Anthropic para alinear modelos usando principios éticos explícitos en lugar de solo feedback humano.,Enfoque de Anthropic para alinear modelos usando principios éticos explícitos en lugar de solo feedback humano.,Claude entrenado con una 'constitución' de valores y reglas éticas.,Constitutional AI,Anthropic's approach to align models using explicit ethical principles instead of only human feedback.,Anthropic's approach to align models using explicit ethical principles instead of only human feedback.,Claude trained with a 'constitution' of ethical values and rules.
contexto,modelos_arquitecturas,prompt;contexto;dominio;personalizacion,intermedio,activo,1,2025-11-13,2025-11-13,Contexto (Context),"Información adicional que se proporciona al modelo (normalmente al inicio de la conversación o en el system prompt) para que entienda el rol, el dominio, las normas o la realidad concreta en la que debe operar.","Información adicional que se proporciona al modelo (normalmente al inicio de la conversación o en el system prompt) para que entienda el rol, el dominio, las normas o la realidad concreta en la que debe operar.",«Eres un abogado laboralista español con 20 años de experiencia y hablas en tono formal» o «Trabajas en el departamento financiero de una empresa del IBEX 35».,Context,"Additional information provided to the model (usually at the beginning of the conversation or in the system prompt) so it understands the role, domain, rules or specific reality in which it must operate.","Additional information provided to the model (usually at the beginning of the conversation or in the system prompt) so it understands the role, domain, rules or specific reality in which it must operate.",«You are a Spanish labor lawyer with 20 years of experience and speak in a formal tone» or «You work in the finance department of an IBEX 35 company».
context_window,modelos_arquitecturas,llm;token;memoria;contexto,intermedio,activo,1,2025-11-13,2025-11-13,Ventana de contexto (Context Window),Cantidad máxima de tokens (palabras o fragmentos) que un modelo de lenguaje puede procesar y recordar en una sola interacción.,Cantidad máxima de tokens (palabras o fragmentos) que un modelo de lenguaje puede procesar y recordar en una sola interacción.,GPT-4o tiene 128 k tokens de contexto; Claude 3 tiene 200 k; Gemini 1.5 llega a 1 millón.,Context Window,Maximum number of tokens (words or subwords) that a language model can process and keep in memory in a single interaction.,Maximum number of tokens (words or subwords) that a language model can process and keep in memory in a single interaction.,GPT-4o has 128 k token context; Claude 3 has 200 k; Gemini 1.5 reaches 1 million.
coste_por_token,aplicaciones_herramientas,coste;facturacion;token,basico,activo,1,2025-11-13,2025-11-13,Coste por token,Precio que cobran los proveedores de LLM por cada token procesado (entrada + salida).,Precio que cobran los proveedores de LLM por cada token procesado (entrada + salida).,GPT-4o ≈ 5 $/millón tokens entrada y 15 $/millón salida (precios 2025).,Cost per token,Price charged by LLM providers for each processed token (input + output).,Price charged by LLM providers for each processed token (input + output).,GPT-4o ≈ $5/million input tokens and $15/million output tokens (2025 pricing).
cross_validation,tecnicas_procesos,evaluacion;modelo;validacion,intermedio,activo,1,2025-11-13,2025-11-13,Validación cruzada (Cross-Validation),Método para evaluar el rendimiento del modelo dividiendo los datos en subconjuntos y rotando entre entrenamiento y prueba.,Método para evaluar el rendimiento del modelo dividiendo los datos en subconjuntos y rotando entre entrenamiento y prueba.,K-fold para probar robustez en predicciones de churn.,Cross-Validation,Method to evaluate model performance by splitting data into subsets and rotating between training and testing.,Method to evaluate model performance by splitting data into subsets and rotating between training and testing.,K-fold to test robustness in churn predictions.
data_augmentation,tecnicas_procesos,datos;aumento;sintetico,intermedio,activo,1,2025-11-13,2025-11-13,Data augmentation (aumento de datos),Generar datos adicionales o sintéticos para mejorar el entrenamiento de los modelos.,Generar datos adicionales o sintéticos para mejorar el entrenamiento de los modelos.,Crear imágenes adicionales de un producto en distintos ángulos.,Data augmentation,Generating additional or synthetic data to improve model training.,Generating additional or synthetic data to improve model training.,Creating additional images of a product from different angles.
data_cleaning,tecnicas_procesos,datos;calidad,basico,activo,1,2025-11-13,2025-11-13,Data cleaning (limpieza de datos),"Proceso de eliminar errores, duplicados y valores inconsistentes en los datos.","Proceso de eliminar errores, duplicados y valores inconsistentes en los datos.",Depurar bases de clientes antes del análisis predictivo.,Data cleaning,"Process of removing errors, duplicates and inconsistent values from data.","Process of removing errors, duplicates and inconsistent values from data.",Cleaning customer databases before predictive analysis.
data_drift,tecnicas_procesos,monitorizacion;calidad;produccion,intermedio,activo,1,2025-11-13,2025-11-13,Data drift,"Cambio gradual en la distribución de los datos reales respecto a los datos con los que se entrenó el modelo, provocando degradación del rendimiento.","Cambio gradual en la distribución de los datos reales respecto a los datos con los que se entrenó el modelo, provocando degradación del rendimiento.",Un modelo de scoring crediticio que empeora porque el perfil de clientes cambió tras una crisis económica.,Data drift,"Gradual change in the distribution of real-world data compared to training data, causing performance degradation.","Gradual change in the distribution of real-world data compared to training data, causing performance degradation.",A credit scoring model that worsens because customer profiles changed after an economic crisis.
data_labeling,tecnicas_procesos,datos;anotacion;supervisado,basico,activo,1,2025-11-13,2025-11-13,Etiquetado de datos (Data labeling),Proceso de anotar datos con etiquetas correctas para entrenar modelos supervisados.,Proceso de anotar datos con etiquetas correctas para entrenar modelos supervisados.,Marcar imágenes como 'defectuoso' o 'correcto' para control de calidad.,Data labeling,Process of annotating data with correct labels to train supervised models.,Process of annotating data with correct labels to train supervised models.,Marking images as 'defective' or 'correct' for quality control.
data_lake,aplicaciones_herramientas,datos;almacen;nube,intermedio,activo,1,2025-11-13,2025-11-13,Data lake,Repositorio centralizado donde se almacenan datos en bruto de múltiples fuentes.,Repositorio centralizado donde se almacenan datos en bruto de múltiples fuentes.,Lago de datos en la nube para entrenar modelos corporativos.,Data lake,Centralized repository where raw data from multiple sources is stored.,Centralized repository where raw data from multiple sources is stored.,Cloud data lake used to train corporate models.
data_warehouse,aplicaciones_herramientas,datos;almacen;analitica,intermedio,activo,1,2025-11-13,2025-11-13,Data warehouse (almacén de datos),"Repositorio estructurado y optimizado para consultas analíticas que almacena datos procesados, limpios y organizados de múltiples fuentes.","Repositorio estructurado y optimizado para consultas analíticas que almacena datos procesados, limpios y organizados de múltiples fuentes.","Snowflake o BigQuery almacenando datos históricos de ventas, inventario y clientes para entrenar modelos predictivos.",Data warehouse,"Structured repository optimized for analytical queries that stores processed, clean and organized data from multiple sources.","Structured repository optimized for analytical queries that stores processed, clean and organized data from multiple sources.","Snowflake or BigQuery storing historical sales, inventory and customer data to train predictive models."
dataset,fundamentos,datos;fundamentos,basico,activo,1,2025-11-13,2025-11-13,Dataset (conjunto de datos),Colección estructurada de datos utilizada para entrenar modelos de IA.,Colección estructurada de datos utilizada para entrenar modelos de IA.,Registros históricos de clientes para predecir abandonos.,Dataset,Structured collection of data used to train AI models.,Structured collection of data used to train AI models.,Historical customer records used to predict churn.
deep_learning,fundamentos,fundamentos;redes;vision,intermedio,activo,1,2025-11-13,2025-11-13,Aprendizaje profundo (Deep Learning),"Técnica basada en redes neuronales con muchas capas que permiten procesar datos complejos como imagen, voz o texto.","Técnica basada en redes neuronales con muchas capas que permiten procesar datos complejos como imagen, voz o texto.",Reconocimiento facial o diagnóstico médico por imagen.,Deep learning,"Technique based on neural networks with many layers that can process complex data such as images, speech or text.","Technique based on neural networks with many layers that can process complex data such as images, speech or text.",Facial recognition or medical image diagnosis.
derechos_digitales,etica_regulacion,derechos;ciudadania;datos,intermedio,activo,1,2025-11-13,2025-11-13,Derechos digitales,"Conjunto de principios y normas que protegen a las personas en el entorno digital, incluidos sistemas de IA.","Conjunto de principios y normas que protegen a las personas en el entorno digital, incluidos sistemas de IA.",Derecho a saber si una decisión ha sido tomada por un algoritmo.,Digital rights,"Set of principles and rules that protect people in the digital environment, including AI systems.","Set of principles and rules that protect people in the digital environment, including AI systems.",Right to know whether a decision was made by an algorithm.
deployment,aplicaciones_herramientas,mlops;produccion;despliegue,intermedio,activo,1,2025-11-13,2025-11-13,Despliegue (Deployment),"Proceso de poner un modelo de IA entrenado en producción para que pueda ser usado por aplicaciones, usuarios o sistemas reales.","Proceso de poner un modelo de IA entrenado en producción para que pueda ser usado por aplicaciones, usuarios o sistemas reales.","Desplegar un modelo de detección de fraude en la API de pagos de la empresa, disponible 24/7.",Deployment,"Process of putting a trained AI model into production so it can be used by real applications, users or systems.","Process of putting a trained AI model into production so it can be used by real applications, users or systems.","Deploying a fraud detection model to the company's payment API, available 24/7."
diffusion_models,modelos_arquitecturas,arquitectura;generativa;imagen,avanzado,activo,1,2025-11-13,2025-11-13,Modelos de difusión (Diffusion models),Arquitectura generativa que crea imágenes añadiendo ruido progresivamente y luego aprendiendo a eliminarlo.,Arquitectura generativa que crea imágenes añadiendo ruido progresivamente y luego aprendiendo a eliminarlo.,Stable Diffusion y DALL-E 3 usan esta técnica para generar imágenes.,Diffusion models,Generative architecture that creates images by progressively adding noise and then learning to remove it.,Generative architecture that creates images by progressively adding noise and then learning to remove it.,Stable Diffusion and DALL-E 3 use this technique to generate images.
dropout,tecnicas_procesos,regularizacion;entrenamiento;overfitting,intermedio,activo,1,2025-11-13,2025-11-13,Dropout,"Técnica de regularización que desactiva aleatoriamente neuronas durante el entrenamiento para prevenir overfitting, forzando al modelo a ser más robusto.","Técnica de regularización que desactiva aleatoriamente neuronas durante el entrenamiento para prevenir overfitting, forzando al modelo a ser más robusto.","Aplicar dropout de 0.5 en capas densas para que el modelo no memorice datos de entrenamiento.",Dropout,"Regularization technique that randomly deactivates neurons during training to prevent overfitting, forcing the model to be more robust.","Regularization technique that randomly deactivates neurons during training to prevent overfitting, forcing the model to be more robust.","Applying dropout of 0.5 in dense layers so the model doesn't memorize training data."
edge_ai,aplicaciones_herramientas,edge;dispositivos;iot,intermedio,activo,1,2025-11-13,2025-11-13,Edge AI,Procesamiento de modelos de IA directamente en dispositivos locales sin depender siempre de la nube.,Procesamiento de modelos de IA directamente en dispositivos locales sin depender siempre de la nube.,Cámaras inteligentes en plantas de producción que detectan anomalías.,Edge AI,Running AI models directly on local devices without always relying on the cloud.,Running AI models directly on local devices without always relying on the cloud.,Smart cameras in factories detecting anomalies.
embedding,modelos_arquitecturas,vector;busqueda;semantica,intermedio,activo,1,2025-11-13,2025-11-13,Embedding,"Representación numérica de texto, imagen o audio que permite medir similitud semántica.","Representación numérica de texto, imagen o audio que permite medir similitud semántica.",Buscar documentos similares en un repositorio corporativo.,Embedding,"Numeric representation of text, image or audio that allows measuring semantic similarity.","Numeric representation of text, image or audio that allows measuring semantic similarity.",Searching for similar documents in a corporate repository.
emergent_abilities,fundamentos,llm;escalado;capacidades,avanzado,activo,1,2025-11-13,2025-11-13,Capacidades emergentes,"Habilidades que aparecen en modelos grandes pero no en versiones pequeñas, sin haber sido entrenadas explícitamente.","Habilidades que aparecen en modelos grandes pero no en versiones pequeñas, sin haber sido entrenadas explícitamente.",Razonamiento aritmético complejo que surge solo en modelos de +100B parámetros.,Emergent abilities,"Abilities that appear in large models but not in smaller versions, without being explicitly trained.","Abilities that appear in large models but not in smaller versions, without being explicitly trained.",Complex arithmetic reasoning that emerges only in models with +100B parameters.
ensemble_methods,tecnicas_procesos,ensamble;modelo;combinacion,intermedio,activo,1,2025-11-13,2025-11-13,Métodos de ensamble (Ensemble Methods),"Técnicas que combinan múltiples modelos para mejorar la precisión y robustez, como Random Forest o Boosting.","Técnicas que combinan múltiples modelos para mejorar la precisión y robustez, como Random Forest o Boosting.",Combinar predictores para una mejor detección de fraudes.,Ensemble Methods,"Techniques that combine multiple models to improve accuracy and robustness, such as Random Forest or Boosting.","Techniques that combine multiple models to improve accuracy and robustness, such as Random Forest or Boosting.",Combining predictors for better fraud detection.
entrenamiento,fundamentos,proceso;modelo,basico,activo,1,2025-11-13,2025-11-13,Entrenamiento,Proceso mediante el cual un modelo aprende a partir de datos y ajusta sus parámetros internos.,Proceso mediante el cual un modelo aprende a partir de datos y ajusta sus parámetros internos.,Entrenar un modelo para clasificar correos en spam o no spam.,Training,Process by which a model learns from data and adjusts its internal parameters.,Process by which a model learns from data and adjusts its internal parameters.,Training a model to classify emails as spam or not spam.
